antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Touring Tire'}),frozenset({'Touring Tire Tube'}),0.03299533236761629,0.0581039755351682,0.028327699983904716,0.8585365853658538,14.775866495507062,1.0,0.026410539999241995,6.658230517768643,0.9641339955816487,0.45128205128205134,0.8498099461514097,0.6730356057023175
frozenset({'Touring Tire Tube'}),frozenset({'Touring Tire'}),0.0581039755351682,0.03299533236761629,0.028327699983904716,0.48753462603878117,14.775866495507062,1.0,0.026410539999241995,1.8869658649475163,0.9898354486422669,0.45128205128205134,0.470048706987175,0.6730356057023175
frozenset({'HL Road Tire'}),frozenset({'Road Tire Tube'}),0.035570577820698536,0.09383550619668438,0.024142926122646065,0.6787330316742082,7.23322182811639,1.0,0.020805142947132264,2.8205965229652503,0.8935324877614597,0.22935779816513763,0.6454650667481093,0.4680114558027988
frozenset({'ML Road Tire'}),frozenset({'Road Tire Tube'}),0.03669724770642202,0.09383550619668438,0.02285530339610494,0.6228070175438596,6.63722126929674,1.0,0.019411798581547717,2.4023895882227433,0.8816901408450705,0.21225710014947682,0.5837477797513321,0.43318738527278744
frozenset({'Road Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.056816352808627076,0.15097376468694673,0.05118300338000966,0.9008498583569405,5.966929818733125,1.0,0.04260522470070945,8.563036030443083,0.8825530727456157,0.3268242548818089,0.8832189895680893,0.6199345240611995
frozenset({'Water Bottle - 30 oz.'}),frozenset({'Road Bottle Cage'}),0.15097376468694673,0.056816352808627076,0.05118300338000966,0.3390191897654584,5.966929818733124,1.0,0.04260522470070945,1.4269455823637223,0.980428626784703,0.3268242548818089,0.2992024276472343,0.6199345240611995
frozenset({'Water Bottle - 30 oz.'}),frozenset({'Mountain Bottle Cage'}),0.15097376468694673,0.07098020280057943,0.0605182681474328,0.40085287846481876,5.647389872793467,1.0,0.049802119712386364,1.5505704088488548,0.9692598568115357,0.3748753738783649,0.35507604537455284,0.6267302941076929
frozenset({'Mountain Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.07098020280057943,0.15097376468694673,0.0605182681474328,0.8526077097505669,5.647389872793466,1.0,0.049802119712386364,5.760316458047023,0.8858014110673685,0.3748753738783649,0.8263984266692459,0.6267302941076929
frozenset({'HL Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.05279253178818606,0.12328987606631257,0.03605343634315146,0.6829268292682927,5.5391963319111,1.0,0.029544651641759134,2.7650088524062455,0.8651414006554193,0.2574712643678161,0.6383375050934281,0.48767751385085656
frozenset({'ML Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.04828585224529213,0.12328987606631257,0.03267342668598101,0.6766666666666666,5.488420365535248,1.0,0.02672026994690266,2.7114746101041876,0.8592897506454427,0.23522595596755502,0.6311969891683495,0.47083986074847695
frozenset({'LL Road Tire'}),frozenset({'Road Tire Tube'}),0.04039916304522775,0.09383550619668438,0.020762916465475616,0.5139442231075697,5.477076257576896,1.0,0.016972040551204284,1.864322032333051,0.8518342265875088,0.1829787234042553,0.46361198191249214,0.36760675992428227
