antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Touring Tire Tube'}),frozenset({'Touring Tire'}),0.051175656984785614,0.032119256185646226,0.027662517289073305,0.5405405405405406,16.829173671278937,1.0,0.02601879325191022,2.106563971831241,0.9913103336572724,0.49723756906077354,0.525293314909066,0.7008922798396482
frozenset({'Touring Tire'}),frozenset({'Touring Tire Tube'}),0.032119256185646226,0.051175656984785614,0.027662517289073305,0.8612440191387559,16.829173671278934,1.0,0.02601879325191022,6.838078885868266,0.9717926325817721,0.49723756906077354,0.8537600959727705,0.7008922798396482
frozenset({'HL Road Tire'}),frozenset({'Road Tire Tube'}),0.03380974335331182,0.09159366835715384,0.02458890425695405,0.7272727272727272,7.940207443563147,1.0,0.02149214583701032,3.330823216023768,0.9046445045331635,0.24390243902439027,0.6997739191953368,0.49786455155582665
frozenset({'ML Road Tire'}),frozenset({'Road Tire Tube'}),0.034731827262947594,0.09159366835715384,0.022744736437682496,0.6548672566371682,7.149700065332304,1.0,0.01956352096992212,2.6320491147600413,0.8910829313631415,0.2195845697329377,0.6200678800436564,0.4515947021440874
frozenset({'LL Road Tire'}),frozenset({'Road Tire Tube'}),0.03765175964346089,0.09159366835715384,0.021515291224834792,0.5714285714285714,6.238734419942473,1.0,0.018066628438988368,2.1196147738333075,0.872564675822421,0.19971469329529243,0.5282161587355294,0.4031639501438159
frozenset({'HL Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.04948516981712003,0.11341632088520055,0.03442446595973567,0.6956521739130435,6.133616118769883,1.0,0.02881204006069854,2.9130606599486266,0.8805375909458366,0.2679425837320574,0.6567184426507495,0.4995876045716979
frozenset({'Mountain Tire Tube'}),frozenset({'HL Mountain Tire'}),0.11341632088520055,0.04948516981712003,0.03442446595973567,0.3035230352303523,6.133616118769883,1.0,0.02881204006069854,1.3647469740758083,0.9440327613104524,0.2679425837320574,0.26726344223830273,0.4995876045716979
frozenset({'ML Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.04057169202397418,0.11341632088520055,0.02735515598586138,0.6742424242424242,5.944844789356984,1.0,0.022753663944414793,2.7216057126314768,0.8669611088014082,0.21601941747572817,0.6325698482484753,0.4577174180832717
frozenset({'Road Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.05747656370063009,0.15106808052866144,0.049946211771937914,0.8689839572192514,5.752267151196,1.0,0.04126333761830039,6.479602813924095,0.876535764903611,0.31492248062015504,0.8456695527924818,0.5998022532790052
frozenset({'Water Bottle - 30 oz.'}),frozenset({'Road Bottle Cage'}),0.15106808052866144,0.05747656370063009,0.049946211771937914,0.3306205493387589,5.752267151196,1.0,0.04126333761830039,1.408055528696475,0.9731705007519635,0.31492248062015504,0.28980073610750107,0.5998022532790052
frozenset({'Mountain Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.07345935146765022,0.15106808052866144,0.06101121868756724,0.8305439330543934,5.497812179435339,1.0,0.04991385546446901,5.009746388979014,0.8829720164461192,0.37312030075187974,0.8003890971008216,0.6172048251233311
frozenset({'Water Bottle - 30 oz.'}),frozenset({'Mountain Bottle Cage'}),0.15106808052866144,0.07345935146765022,0.06101121868756724,0.4038657171922686,5.497812179435339,1.0,0.04991385546446901,1.5542482210022182,0.963692666030712,0.37312030075187974,0.35660212668271557,0.6172048251233311
frozenset({'AWC Logo Cap'}),frozenset({'Water Bottle - 30 oz.'}),0.08252650991240203,0.15106808052866144,0.02581834946980175,0.3128491620111732,2.0709150531095664,1.0,0.013351228024605625,1.235437508824143,0.5636366355587461,0.1242603550295858,0.19057014793749166,0.2418772768346812
