feature_name,feature_type
YearlyIncome,selected
TotalChildren,selected
NumberChildrenAtHome,selected
NumberCarsOwned,selected
days_since_first_purchase,selected
customer_age_days,selected
total_orders,selected
total_amount,selected
avg_order_value,selected
last_order_days,selected
first_order_days,selected
amount_std,selected
amount_cv,selected
rfm_recency,selected
rfm_frequency,selected
rfm_monetary,selected
rfm_score,selected
recent_6m_orders,selected
recent_6m_amount,selected
recent_12m_orders,selected
recent_12m_amount,selected
trend_6m_vs_12m_orders,selected
trend_6m_vs_12m_amount,selected
customer_lifetime_days,selected
EnglishEducation_encoded,selected
EnglishOccupation_encoded,selected
HouseOwnerFlag_encoded,selected
CommuteDistance_encoded,selected
