CustomerKey,FirstPurchase,LastPurchase,PurchaseCount,TotalAmount,AverageAmount,LifecycleDays,Cluster
11000,2011-01-19,2013-05-03,8,8248.99,1031.12375,835,0
11001,2011-01-15,2013-12-10,11,6383.879999999999,580.3527272727272,1060,0
11002,2011-01-07,2013-02-23,4,8114.04,2028.51,778,3
11003,2010-12-29,2013-05-10,9,8139.29,904.3655555555556,863,0
11004,2011-01-23,2013-05-01,6,8196.01,1366.0016666666668,829,0
11005,2010-12-30,2013-05-02,6,8121.33,1353.555,854,0
11006,2011-01-24,2013-05-14,5,8119.03,1623.806,841,0
11007,2011-01-09,2013-03-19,8,8211.0,1026.375,800,0
11008,2011-01-25,2013-03-02,7,8106.3099999999995,1158.0442857142857,767,0
11009,2011-01-27,2013-05-09,5,8091.33,1618.266,833,0
11010,2011-01-14,2013-05-23,4,8088.04,2022.01,860,0
11011,2010-12-30,2013-03-19,4,8133.04,2033.26,810,0
11017,2011-01-12,2013-10-14,4,6434.3099999999995,1608.5774999999999,1006,0
11018,2011-01-17,2013-10-24,7,6533.28,933.3257142857143,1011,0
11025,2011-01-06,2013-10-25,6,6576.799999999999,1096.1333333333332,1023,0
11026,2011-01-23,2013-10-15,7,6575.79,939.3985714285715,996,0
11027,2011-01-16,2013-10-24,9,6591.57,732.3966666666666,1012,0
11028,2011-01-26,2013-10-07,5,6474.62,1294.924,985,0
11029,2011-01-19,2013-11-11,7,6565.29,937.8985714285715,1027,0
11030,2011-02-05,2013-11-09,4,6471.32,1617.83,1008,0
11031,2011-02-01,2013-11-13,6,6478.599999999999,1079.7666666666667,1016,0
11032,2011-02-18,2013-11-08,10,6525.5599999999995,652.5559999999999,994,0
11033,2011-02-15,2013-11-05,7,6495.29,927.8985714285715,994,0
11034,2011-02-01,2013-11-10,4,6491.32,1622.83,1013,0
11035,2011-02-06,2013-11-15,5,6451.3099999999995,1290.262,1013,0
11038,2011-02-07,2013-11-12,3,6437.33,2145.7766666666666,1009,0
11039,2011-02-07,2013-11-11,9,6636.58,737.3977777777777,1008,0
11044,2011-02-28,2013-11-08,7,6515.299999999999,930.7571428571428,984,0
11045,2013-04-10,2013-10-29,4,114.96000000000001,28.740000000000002,202,2
11046,2011-02-06,2013-11-12,6,6616.8099999999995,1102.8016666666665,1010,0
11047,2011-02-03,2013-11-19,4,6582.33,1645.5825,1020,0
11048,2011-02-10,2013-12-25,8,6498.24,812.28,1049,0
11050,2011-02-20,2013-11-19,6,5007.3,834.5500000000001,1003,0
11051,2013-12-29,2013-12-29,2,58.980000000000004,29.490000000000002,0,1
11052,2011-02-17,2013-05-27,7,8131.32,1161.6171428571429,830,0
11054,2011-02-03,2013-05-30,6,8223.02,1370.5033333333333,847,0
11055,2011-01-31,2013-06-07,8,8168.009999999999,1021.0012499999999,858,0
11056,2011-02-26,2013-05-31,8,8207.5,1025.9375,825,0
11057,2011-02-22,2013-05-21,4,8088.04,2022.01,819,0
11058,2011-03-09,2013-06-04,6,8248.019999999999,1374.6699999999998,818,0
11059,2013-02-18,2013-03-16,7,116.93,16.704285714285714,26,2
11060,2011-03-19,2013-06-25,6,8153.0199999999995,1358.8366666666666,829,0
11061,2011-03-13,2013-06-14,6,8129.0199999999995,1354.8366666666666,824,0
11068,2013-04-30,2013-10-08,9,113.36,12.595555555555556,161,2
11069,2011-04-17,2013-06-04,3,8104.049999999999,2701.35,779,0
11070,2011-04-28,2013-06-26,10,8165.55,816.5550000000001,790,0
11071,2013-03-01,2013-12-01,7,110.23,15.747142857142858,275,2
11072,2011-03-31,2013-06-15,7,8194.0,1170.5714285714287,807,0
11073,2013-03-23,2013-08-21,10,191.9,19.19,151,2
11074,2013-03-23,2013-05-27,7,94.19,13.455714285714285,65,2
11075,2011-04-28,2013-06-24,5,8068.03,1613.606,788,0
11076,2011-04-21,2013-06-21,4,8159.039999999999,2039.7599999999998,792,0
11077,2011-04-15,2013-06-12,5,8169.03,1633.806,789,0
11079,2013-03-15,2013-08-31,4,32.96,8.24,169,2
11080,2011-04-10,2013-06-23,7,8204.019999999999,1172.002857142857,805,0
11092,2011-04-08,2013-06-21,5,8110.0199999999995,1622.004,805,0
11093,2011-04-07,2013-06-08,7,8180.0,1168.5714285714287,793,0
11094,2013-04-07,2013-08-21,4,157.93,39.4825,136,2
11095,2011-04-01,2013-06-25,7,8158.009999999999,1165.4299999999998,816,0
11096,2011-04-11,2013-07-30,4,8063.039999999999,2015.7599999999998,841,0
11097,2011-04-04,2013-07-24,5,8099.03,1619.806,842,0
11098,2013-02-11,2013-10-16,4,88.96,22.24,247,2
11099,2011-04-07,2013-07-01,9,8215.99,912.8877777777777,816,0
11100,2011-04-16,2013-08-07,7,8172.509999999999,1167.5014285714285,844,0
11101,2011-04-29,2013-06-29,7,8262.52,1180.3600000000001,792,0
11102,2013-07-16,2013-12-09,5,102.91,20.582,146,2
11103,2011-04-15,2013-06-06,8,8182.5,1022.8125,783,0
11104,2011-05-04,2013-06-15,6,8173.03,1362.1716666666666,773,0
11105,2011-05-14,2013-06-05,5,8095.99,1619.1979999999999,753,0
11106,2011-05-18,2013-06-15,3,8079.049999999999,2693.0166666666664,759,0
11107,2011-05-01,2013-06-21,6,8171.009999999999,1361.8349999999998,782,0
11108,2011-05-03,2013-06-23,5,8124.04,1624.808,782,0
11109,2011-05-10,2013-06-24,8,8245.01,1030.62625,776,0
11110,2011-05-01,2013-08-20,5,8093.03,1618.606,842,0
11111,2011-05-20,2013-08-22,8,8136.999999999999,1017.1249999999999,825,0
11112,2011-05-25,2013-09-02,6,8295.02,1382.5033333333333,831,0
11113,2013-02-01,2013-04-21,7,109.88000000000001,15.69714285714286,79,2
11114,2013-03-18,2013-12-26,7,122.89,17.555714285714284,283,2
11115,2013-02-10,2013-12-22,3,35.23,11.743333333333332,315,1
11116,2013-03-15,2013-10-16,7,148.7,21.24285714285714,215,2
11117,2011-05-06,2013-06-25,8,8184.99,1023.12375,781,0
11118,2013-07-10,2013-11-10,7,115.85000000000001,16.55,123,2
11119,2013-02-03,2013-11-23,4,85.22,21.305,293,2
11120,2011-05-14,2013-09-19,10,8242.49,824.249,859,0
11121,2013-06-24,2013-11-04,6,58.16,9.693333333333333,133,2
11122,2013-02-21,2013-08-22,3,42.92999999999999,14.309999999999997,182,1
11123,2013-04-17,2013-10-15,4,45.88,11.47,181,2
11124,2011-05-05,2013-06-18,6,8129.0199999999995,1354.8366666666666,775,0
11125,2013-01-31,2013-07-03,7,79.69,11.384285714285713,153,2
11126,2011-05-28,2013-11-03,8,4972.37,621.54625,890,0
11134,2011-05-03,2013-11-03,3,4911.83,1637.2766666666666,915,1
11139,2013-09-14,2013-10-17,3,83.97,27.99,33,1
11146,2013-02-05,2013-09-15,7,112.92999999999999,16.13285714285714,222,2
11147,2011-05-13,2013-10-16,7,8195.5,1170.7857142857142,887,0
11148,2013-03-07,2013-12-03,6,126.24000000000001,21.040000000000003,271,2
11149,2013-06-04,2013-11-29,4,41.26,10.315,178,2
11150,2013-03-27,2013-07-15,8,192.42000000000002,24.052500000000002,110,2
11151,2011-05-15,2013-10-20,6,8087.3099999999995,1347.885,889,0
11356,2011-05-10,2013-10-31,8,5069.29,633.66125,905,0
11357,2011-06-18,2013-10-29,5,4943.8,988.76,864,0
11358,2011-06-28,2013-11-14,8,5034.78,629.3475,870,0
11359,2011-06-13,2013-12-04,8,4960.07,620.00875,905,0
11360,2011-06-27,2013-12-22,6,5025.8,837.6333333333333,909,0
11361,2013-10-01,2013-11-24,4,114.96000000000001,28.740000000000002,54,2
11362,2013-03-29,2013-09-24,3,77.27,25.756666666666664,179,1
11363,2011-06-08,2013-12-18,5,5035.8099999999995,1007.1619999999999,924,0
11364,2011-06-07,2013-12-26,4,4921.82,1230.455,933,0
11365,2011-05-31,2013-12-22,7,5024.79,717.8271428571428,936,0
11366,2013-06-24,2013-08-15,3,77.27,25.756666666666664,52,1
11367,2013-07-07,2013-11-25,4,86.26,21.565,141,2
11368,2011-06-24,2013-12-01,11,5106.24,464.20363636363635,891,0
11369,2013-07-05,2013-12-27,4,118.96000000000001,29.740000000000002,175,2
11370,2013-07-13,2013-10-01,3,79.97,26.656666666666666,80,1
11371,2013-11-07,2013-12-28,2,74.98,37.49,51,1
11372,2011-06-07,2013-12-14,5,4965.8099999999995,993.1619999999999,921,0
11443,2011-06-07,2013-10-01,8,8235.0,1029.375,847,0
11444,2011-06-01,2013-06-02,5,8136.0199999999995,1627.204,732,0
11445,2011-06-06,2013-06-28,5,8098.03,1619.606,753,0
11446,2011-06-18,2013-06-21,7,8237.01,1176.7157142857143,734,0
11447,2011-06-28,2013-05-31,6,8078.0199999999995,1346.3366666666666,703,0
11448,2011-06-16,2013-06-21,7,8132.009999999999,1161.7157142857143,736,0
11449,2011-06-19,2013-06-24,7,8130.32,1161.4742857142858,736,0
11450,2011-06-29,2013-06-17,9,8173.259999999999,908.1399999999999,719,0
11451,2011-07-29,2013-06-05,9,8249.49,916.61,677,0
11452,2011-07-11,2013-06-12,5,8183.04,1636.608,702,0
11453,2011-07-15,2013-06-19,6,8176.98,1362.83,705,0
11454,2011-07-31,2013-06-18,4,8089.04,2022.26,688,0
11455,2011-07-01,2013-05-31,5,8142.03,1628.406,700,0
11456,2011-07-17,2013-05-31,11,8224.46,747.6781818181818,684,0
11457,2011-07-17,2013-06-01,10,8211.48,821.1479999999999,685,0
11458,2013-03-30,2013-07-25,4,31.92,7.98,117,2
11459,2011-07-27,2013-06-18,5,8141.33,1628.266,692,0
11460,2011-07-21,2013-06-10,6,8137.5199999999995,1356.2533333333333,690,0
11461,2011-07-31,2013-07-21,4,8089.04,2022.26,721,0
11462,2011-07-16,2013-07-25,5,8116.33,1623.266,740,0
